titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
The Little Girl Raised By Death Hold The Sword Of Death Tight,Chapter 23,Tình trạng:Đang tiến hành,Bình luận:1.057,Ngày cập nhật:2 ngày trước,Lượt xem:729K,"Sâu trong một ngôi đền lãng quên, một đứa trẻ được tìm thấy bởi sinh vật hắc ám (Thần chết Z), Z đã nuôi nấng và dạy cho con bé kiến thức và cách chiến đấu. bỗng ngày nọ, Z biến mất, để lại bức thư và thanh hắc kiếm. Cô gái trẻ, olivia, lên đường tìm kiếm Z và trong hành trình cô tình nguyện trở thành lính của vương quốc farnest đang thất thế với Ashbelt Empires tranh giành thắng thua. Đây là cậu chuyện về Olivia Valedstorm, cô gái được Thần chết nuôi dưỡng. Và trong hành trình, cô trở thành một nữ thần chiến tranh.",//st.nettruyenup.com/data/comics/57/the-little-girl-raised-by-death-hold-the-1551.jpg,https://www.nettruyenup.com/truyen-tranh/the-little-girl-raised-by-death-hold-the-sword-of-death-tight-251450
Đêm Của Bóng Tối,Chapter 30,"Thể loại:Action, Drama, Horror, Manhwa, Ngôn Tình, School Life, Truyện Màu",Lượt xem:194K,Theo dõi:4.457,Tình trạng:Đang tiến hành,"Areum Lee, người có giấc mơ tiên tri, một ngày nọ cô nhớ lại những cơn ác mộng tiên tri đã bị mình vô tình lãng quên Và trong cuốn sổ, có những điều về những giấc mơ mà tôi không thể nhớ nổi … ‘Tôi chưa bao giờ viết bất cứ điều gì như thế này! Nhưng chắc chắn đây là giấc mơ của tôi …? ‘ Những con quái vật tôi nhìn thấy trong giấc mơ của mình lần lượt xuất hiện trong thực tế, và những người có khả năng đặc biệt bắt đầu xuất hiện trên thế giới.",//st.nettruyenup.com/data/comics/53/dem-cua-bong-toi.jpg,https://www.nettruyenup.com/truyen-tranh/dem-cua-bong-toi-70453
Pumpkin Time,Chapter 14,Tác giả:Gaedarae,Lượt xem:30K,Theo dõi:668,Tình trạng:Đang tiến hành,"Nhân vật chính của chúng ta - Fujiwara Itsuki là một chàng trai đam mê mãnh liệt với bộ môn bóng chày. Thế nhưng khi lớn lên, câu ta lai trở thành một nữ sinh trung học bình thường. Chuyện gì đã xảy ra? Mời các bạn đón đọc.",//st.nettruyenup.com/data/comics/33/pumpkin-time.jpg,https://www.nettruyenup.com/truyen-tranh/pumpkin-time-79905
Maeda Taison Blues,Chapter 90,"Thể loại:Action, Drama, Manga, Martial Arts, Shounen, Sports",Tình trạng:Đang tiến hành,Bình luận:46,Tác giả:Morita Masanori,"Maeda Taison học sinh mới của trường Teiken , cậu ta nói cà lăm khi tức giận hoặc lúng túng , cho giáo viên ăn đấm vào ngày đầu năm học , sau đó lần lượt đánh bại các câu lạc bộ trong trường và trở thành ""leader"" tổ quyền anh câu chuyện bắt đầu.... Đây được coi là bộ shounen school life hay nhất của Jump...",//st.nettruyenup.com/data/comics/174/maeda-taison-blues.jpg,https://www.nettruyenup.com/truyen-tranh/maeda-taison-blues-50380
Thỏa Thuận Bí Mật Giữa Chúng Ta,Chapter 17,Tình trạng:Đang tiến hành,Bình luận:29,Ngày cập nhật:2 ngày trước,Lượt xem:60K,"Từ bạn lúc nhỏ trở thành người yêu! Se-i Yun và Jaeha Kim là hai học sinh gương mẫu đã cùng nhau bắt tay để thoát khỏi việc giám sát của các bậc phụ huynh nghiêm khắc. Cả hai vốn là thanh mai trúc mã của nhau, nhưng biến cố xảy ra đã chia cắt họ. Liệu việc “thỏa thuận” này có giúp bọn họ quay lại với nhau không?",//st.nettruyenup.com/data/comics/251/thoa-thuan-bi-mat-giua-chung-ta.jpg,https://www.nettruyenup.com/truyen-tranh/thoa-thuan-bi-mat-giua-chung-ta-75003
Huyết Nghiệp Kị Sĩ Chuyển Sinh,Chapter 47,"Thể loại:Action, Adventure, Chuyển Sinh, Drama, Manhwa",Lượt xem:880K,Theo dõi:19K,Tình trạng:Đang tiến hành,"Kasiya Del Roman là một người lính được chế tạo để trở thành một sát thủ. Cô đã đánh mất cảm xúc con người từ lâu và sống cuộc sống như một công cụ đơn giản, chỉ để bị vứt bỏ trong những khoảnh khắc cuối cùng. Cô thậm chí không thể chết một cái chết thích hợp khi cô mở mắt ra một chiến trường của một thế giới khác. Cô ấy liệu sẽ sống như cuộc sống mà cô ấy đã làm trong thế giới ban đầu của mình không ?",//st.nettruyenup.com/data/comics/7/huyet-nghiep-ki-si-chuyen-sinh.jpg,https://www.nettruyenup.com/truyen-tranh/huyet-nghiep-ki-si-chuyen-sinh-291912
Shokei Sareta Kenja wa Lich ni Tensei Shite Shinryaku Sensou wo Hajimaru,Chapter 27,"Thể loại:Action, Adventure, Drama, Fantasy, Magical, Manga, Seinen, Tragedy",Tình trạng:Đang tiến hành,Bình luận:2.230,Tác giả:Yuuki Karaku - Kunitomo Shoutarou,,//st.nettruyenup.com/data/comics/207/shokei-sareta-kenja-wa-lich-ni-tensei-sh-4161.jpg,https://www.nettruyenup.com/truyen-tranh/shokei-sareta-kenja-wa-lich-ni-tensei-shite-shinryaku-sensou-wo-hajimaru-357910
Bách Luyện Thành Thần,Chapter 1044,Tình trạng:Đang tiến hành,Bình luận:55K,Ngày cập nhật:3 ngày trước,Lượt xem:227M,"Cảnh giới: Luyện nhục cảnh, Luyện cốt cảnh, Luyện tạng cảnh.... La Chính vì gái mà bị đày làm nô bộc. La Bái Nhiên tham vọng đầy mình :)) La Chính lại vì gái mà đâm đầu tu luyện :)) La Gia trong phủ nước sôi lửa bỏng, tranh giành kịch liệt... thôi thì đọc tiếp sẽ biết :) 1 thanh niên dại gái tu luyện võ công =))",//st.nettruyenup.com/data/comics/84/bach-luyen-thanh-than.jpg,https://www.nettruyenup.com/truyen-tranh/bach-luyen-thanh-than-110927
"Kết Thúc, Tôi Muốn Thay Đổi Nó",Chapter 15.2,Tình trạng:Đang tiến hành,Bình luận:183,Ngày cập nhật:3 ngày trước,Lượt xem:527K,,//st.nettruyenup.com/data/comics/113/ket-thuc-toi-muon-thay-doi-no.jpg,https://www.nettruyenup.com/truyen-tranh/ket-thuc-toi-muon-thay-doi-no-75121
Ôm Khẩn Tiểu Mã Giáp Của Tôi,Chapter 174,"Thể loại:Comedy, Drama, Fantasy, Harem, Ngôn Tình, Truyện Màu, Xuyên Không",Lượt xem:31M,Theo dõi:217K,Tình trạng:Đang tiến hành,"Nhà giàu Lục Gia gặp cảnh trớ trêu rằng đứa con gái nuôi hơn chục năm hóa ra chỉ là đồ giả! Hoắc Yểu vừa mới xuyên qua liền xách hành lý cùng thiên kim tiểu thư hang thật mỗi người ai trở về nhà nấy. Nhưng mà, nhìn chiếc thẻ đen không giới hạn mà ba ruột đưa tới, sau đó lại nhìn về phía các anh lớn của mình, cô im lặng. Ủa sao nghe đồn là nhà rất nghèo, cả bốn anh em đều phải gặm nhắm đồ cũ mà? Rồi cả anh hàng xóm lái xe năm xưa nữa, chẳng lẽ…..Hoắc Yểu ôm chặt tiểu mã giáp của mình rồi im lặng không nói nên lời…..",//st.nettruyenup.com/data/comics/137/om-khan-tieu-ma-giap-cua-toi.jpg,https://www.nettruyenup.com/truyen-tranh/om-khan-tieu-ma-giap-cua-toi-564570
Serena,Chapter 25.2,"Thể loại:Cổ Đại, Drama, Manhwa, Ngôn Tình, Truyện Màu",Lượt xem:796K,Theo dõi:16K,Tình trạng:Đang tiến hành,"“Ngươi sẽ không bao giờ trở thành gia chủ của gia tộc Serenity đâu” Serena, người thừa kế duy nhất của gia tộc Serenity. Để cứu gia tộc đang trên bờ vực bị đe dọa, bà của cô đã gả cô cho một người đàn ông bị ghét nhất đế quốc. Thứ duy nhất có thể an ủi Serena trong tình trạng thế này chính là Frederick, người cô yêu. Vào ngày hè đẹp đẽ và rực rỡ của gia tộc Serenity, câu chuyện về ba con người vướng vào hận thù và tình yêu nóng bỏng.",//st.nettruyenup.com/data/comics/29/serena.jpg,https://www.nettruyenup.com/truyen-tranh/serena-72733
Khế Ước Hôn Nhân Của Mẹ Tôi,Chapter 31,"Thể loại:Drama, Manhwa, Ngôn Tình, Truyện Màu",Lượt xem:1.205K,Theo dõi:22K,Tình trạng:Đang tiến hành,"Lirika là một cô bé hàng ngày phải sống trong khu ổ chuột cùng với mẹ của mình là một kẻ luôn say rượu. Và rồi một ngày nọ… “Á, Nóng quá! Không muốn đâu” Người mẹ hét lên và choàng tỉnh giấc, “Liri, mẹ còn sống à. Sao con nhỏ vậy?” Bà ấy nói linh tinh mấy câu gì đó “Hôm nay là ngày mấy nhỉ?” Và không thể bình tĩnh lại được “Sao có thể chứ, mình trở về rồi!” Người mẹ còn bắt đầu nói tiếng Anh. Hay thậm chí còn có cả những lời vô nghĩa như “Mẹ phải tham gia buổi khiêu vũ hoàng cung và gặp hoàng đế!” Lirika bắt đầu lo lắng không biết đầu óc của mẹ mình ra ra sao……",//st.nettruyenup.com/data/comics/121/khe-uoc-hon-nhan-cua-me-toi.jpg,https://www.nettruyenup.com/truyen-tranh/khe-uoc-hon-nhan-cua-me-toi-76409
Tôi Trở Thành Một Người Cha,Chapter 83,"Thể loại:Comedy, Drama, Josei, Manhwa, Ngôn Tình, Shounen, Slice of Life, Truyện Màu",Lượt xem:2.142K,Theo dõi:32K,Tình trạng:Đang tiến hành,"Tôi đã trở thành một người cha đơn thân! Juwon Lee, 24 tuổi, làm việc bán thời gian tại một cửa hàng tiện lợi và sống một mình trong căn hộ nhỏ của mình. Một ngày nọ, chú của anh qua đời và để lại một cô con gái 4 tuổi, Yeondu bé nhỏ dễ thương. Thay vì để cô được gửi đến trại trẻ mồ côi, Juwon bước lên và quyết định trở thành người giám hộ mới của cô.",//st.nettruyenup.com/data/comics/65/toi-tro-thanh-mot-nguoi-cha.jpg,https://www.nettruyenup.com/truyen-tranh/toi-tro-thanh-mot-nguoi-cha-66881
Đằng Nữ,Chapter 179,Tác giả:Kha Tiểu,Lượt xem:6.672K,Theo dõi:41K,Tình trạng:Đang tiến hành,"Kiều An Lạc bị nhóm nhạc sở hữu dị năng nữ KAK ngược đãi tới chết. Tình cờ thay, cô được tiến hành cải tạo thực vật, thay da đổi thịt, trở thành người sở hữu dị năng có thể điều khiển dây leo. Đối mặt với thảm cảnh tan cửa nát nhà, cô lập lời thề nhất định phải báo thù nhóm nhạc dị năng kia!",//st.nettruyenup.com/data/comics/158/dang-nu.jpg,https://www.nettruyenup.com/truyen-tranh/dang-nu-362540
Câu Chuyện Về Những Kẻ Bị Ruồng Bỏ,Chapter 27,"Thể loại:Action, Drama, Fantasy, Manga, Shounen, Supernatural",Tình trạng:Đang tiến hành,Bình luận:302,Tác giả:Hoshino Makoto,"Câu chuyện diễn ra vào thế kỉ 19, kể về hành trình của Wisteria, một cô bé mồ côi và Marbas, một con quỷ bất tử tìm một nơi mà hai người họ có thể sống trong yên bình.",//st.nettruyenup.com/data/comics/143/cau-chuyen-ve-nhung-ke-bi-ruong-bo.jpg,https://www.nettruyenup.com/truyen-tranh/cau-chuyen-ve-nhung-ke-bi-ruong-bo-67727
Vì Hận Tái Sinh ~Người phụ nữ vì phục thù mà từ bỏ gương mặt của mình~,Chapter 8,Tác giả:Fujimori Harumi,Lượt xem:59K,Theo dõi:1.953,Tình trạng:Đang tiến hành,"Một cô gái với cuộc đời bị lấy đi tất cả mọi thứ do bị bắt nạt, vu oan đã tái sinh thành một người khác và cô quyết định trả thù tất cả những ai đã góp phần đẩy cuộc đời mình vào bước đường cùng! Ichimura Hana, một cô gái sinh ra và lớn lên ở Karafuto, bị bắt nạt dã man tại một trường nữ sinh vì ngoại hình xấu xí của mình. Cầm đầu nhóm bắt nạt cô là Takashimazu Ayako, thiên kim tiểu thư của công ty sản xuất giấy lớn nhất Karafuto thời bấy giờ. Sau một lần bị vu cáo là kẻ trộm, Hana đã bị đuổi học.Một thời gian sau, trong một cuộc di tản bởi trận không kích của quân Liên Xô, gia đình Hana đáng ra đã lên được một con tàu để thoát khỏi Karafuto đến Hokkaido, nhưng cả nhà cô đã bị xua đuổi khỏi tàu bởi chính sự vu cáo của bè lũ bắt nạt đó...",//st.nettruyenup.com/data/comics/106/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-4610.jpg,https://www.nettruyenup.com/truyen-tranh/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-ma-tu-bo-guong-mat-cua-minh-79466
Kaketa Tsuki to Doughnut,Chapter 18,"Thể loại:Drama, Psychological, Romance, Shoujo Ai, Slice of Life, Soft Yuri",Tình trạng:Đang tiến hành,Bình luận:118,Tác giả:Usui Shio,"Uno Hinako là một nhân viên văn phòng khao khát trở thành một người phụ nữ ""bình thường"". Tuy nhiên, cô không thể theo đuổi một mối tình lãng mạn ""bình thường"" với một người đàn ông, cô bắt đầu hoang mang. Bị mắc kẹt giữa nỗi sợ hãi khi bước vào sự lãng mạn và lo lắng khi ở một mình, khi đi bộ vào ban đêm, Hinako đã suy sụp và khuỵu xuống khóc. Tại đây, cô tình cờ gặp Satou Asahi, một cô nàng nghiêm túc trong công việc...",//st.nettruyenup.com/data/comics/47/kaketa-tsuki-to-doughnut.jpg,https://www.nettruyenup.com/truyen-tranh/kaketa-tsuki-to-doughnut-279510
Monogatari no Kuromaku ni Tensei shite,Chapter 6,"Thể loại:Action, Drama, Fantasy, Manga",Tình trạng:Đang tiến hành,Bình luận:127,Tác giả:Yuuki Ryou,"Main đang chuẩn bị chơi lại bản game phần đặc biệt thì đột nhiên được chuyển sinh vào thế giới trong game. Nhưng lại chuyển sinh thành Ren nhân vật thao túng trong bóng tối, kẻ nằm bên phía phản diện gây ra nhiều sự kiện náo loạn trong cốt truyện game (phản bội lại nhân vật chính trong game và giết chết thánh nữ). Ren không muốn lặp lại điều đó mà muốn một cuộc sống yên bình . Cậu hàng ngày cố gắng luyện tập để tự bảo vệ mình, nhưng đời không như là game mọi thứ rất khó khắn. Để rồi cuối cùng cậu cũng phải gặp thánh nữ người mà cậu tránh gặp nhất. Liệu cậu bắt buộc phải giết chết cô gái đó như trong cốt truyện hay là lựa chọn theo hướng khác.",//st.nettruyenup.com/data/comics/102/monogatari-no-kuromaku-ni-tensei-shite.jpg,https://www.nettruyenup.com/truyen-tranh/monogatari-no-kuromaku-ni-tensei-shite-79206
Hoa Dã Thú,Chapter 7,Tình trạng:Đang tiến hành,Bình luận:28,Ngày cập nhật:3 ngày trước,Lượt xem:38K,"Kể từ khi sinh ra, Lyla đã bị cha mẹ bỏ rơi và bị những người xung quanh tẩy chay vì mùi hôi thối khủng khiếp phát ra từ cơ thể của cô. Sống một mình ở căn nhà gỗ bỏ hoang trong rừng, một ngày nọ, LyLa không còn ngửi thấy mùi hôi đó khi gặp Biost, một người đàn ông – không thể cảm nhận được mùi hương, đột nhiên xuất hiện và tử tế với cô. Người đầu tiên tiếp cận với Lyla, và người đầu tiên thể hiện sự dịu dàng với Lyla. Lyla không thể không yêu anh ấy. Ngay cả sau khi nhận ra rằng cô ấy đã được định sẵn để chết vì nó. “Đi với tôi, Lyla. Tôi sẽ cứu em khỏi hố sâu này. “Biost, vị cứu tinh của cuộc đời tôi. Tôi thật sự….thích ngài.”",//st.nettruyenup.com/data/comics/207/hoa-da-thu.jpg,https://www.nettruyenup.com/truyen-tranh/hoa-da-thu-80079
Freesia,Chapter 35,Tác giả:Matsumoto Jiro,Lượt xem:181K,Theo dõi:2.682,Tình trạng:Đang tiến hành,"Freesia lấy bối cảnh một xã hội Nhật Bản ""khác"" đang trong chiến tranh và đã thông qua luật hợp pháp hóa các vụ giết người trả thù. Nếu ai đó giết người thân yêu của bạn, bạn sẽ có thể hợp pháp ""trả thù"". Đây là trang giới thiệu manga một cách nghiệp dư",//st.nettruyenup.com/data/comics/94/freesia.jpg,https://www.nettruyenup.com/truyen-tranh/freesia-65886
Sousou No Frieren,Chapter 82,Tình trạng:Đang tiến hành,Bình luận:513,Ngày cập nhật:4 ngày trước,Lượt xem:795K,"Tổ đội anh hùng đã đánh bại được quỷ vương và kết thúc cuộc hành trình của họ. Nhưng thế chưa phải là hết, cuộc đời của cô nàng pháp sư Elf này sẽ còn rất dài, hơn cả những người đồng đội cũ của cô, một cuộc phiêu lưu mới để cô trải qua nhiều cung bậc cảm xúc, cũng như là học hỏi thêm về con ngườ",//st.nettruyenup.com/data/comics/243/sousou-no-frieren.jpg,https://www.nettruyenup.com/truyen-tranh/sousou-no-frieren-337810
Thái Thú Kang Jin Lee,Chapter 40,"Thể loại:Action, Drama, Historical, Manhwa, Shounen, Truyện Màu, Webtoon",Lượt xem:478K,Theo dõi:10K,Tình trạng:Đang tiến hành,"Anh ấy có bị điên không? Hay chỉ là người tìm kiếm sự chú ý điển hình? Lee Kwang-Jin, người không hiểu sự khác biệt về con người, và Master Kwak No của anh ấy là người giúp anh ấy hiểu sự khác biệt của mọi người. Một câu chuyện nhân văn ấm áp của một sinh viên và Master của mình.",//st.nettruyenup.com/data/comics/219/thai-thu-kang-jin-lee.jpg,https://www.nettruyenup.com/truyen-tranh/thai-thu-kang-jin-lee-67547
"Ohayou, Ibarahime",Chapter 26,"Thể loại:Drama, Manga, Psychological, Romance, Shoujo, Slice of Life, Supernatural",Tình trạng:Đang tiến hành,Bình luận:162,Tác giả:Megumi Morino,"Satoshi - Một học sinh cao trung 16 tuổi làm việc bán thời gian tại một căn biệt thự được bao quanh bởi những bụi hoa hồng. Một cô gái tên Shizu sống tại đó, xuất hiện với dáng vẻ thanh tú nhưng lại khá bừa bộn. Tuy nhiên, có một bí ẩn xoay quanh cô gái ấy: Là người con gái nào đã nhìn Satoshi với ánh mắt đầy lạnh lẽo và trống rỗng?",//st.nettruyenup.com/data/comics/78/ohayou-ibarahime.jpg,https://www.nettruyenup.com/truyen-tranh/ohayou-ibarahime-233740
Tôi Thuần Hóa Chó Điên Của Chồng Cũ,Chapter 16.1,Tình trạng:Đang tiến hành,Bình luận:484,Ngày cập nhật:4 ngày trước,Lượt xem:1.265K,"“Cha, hãy cho con một cơ hội để chém Michelle Alankes đi.” Khoảnh khắc trước khi chết, Reinhard đã lặp đi lặp lại điều ước của mình. Sau khi tỉnh táo lại thì cô đã quay về 15 năm trước, vào lúc đám tang của cha cô diễn ra. Cũng là lúc cô bị thái tử michelle alankes, là kẻ có trách nhiệm trước cái chết của cha cô, hủy hôn. Reinhardt đã đâm vào chân Michelle và bị đuổi ra vùng đất biên giới. Trong hành trình gian nan, cô đã gặp gỡ một nhân vật bất ngờ… Đứa trẻ bẩn thỉu, đáng thương mà cô nhặt được. Ở kiếp trước, cậu là một anh hùng chiến tranh và là con hoang của Hoàng đế, cũng là một con chó điên mà chồng cũ của cô đã thuần hóa.",//st.nettruyenup.com/data/comics/130/toi-thuan-hoa-cho-dien-cua-chong-cu.jpg,https://www.nettruyenup.com/truyen-tranh/toi-thuan-hoa-cho-dien-cua-chong-cu-77186
The Boy in the all-girls school,Chapter 140,"Thể loại:Comedy, Drama, Ecchi, Harem, Josei, Manhua, Romance, Shounen, Slice of Life, Tragedy",Lượt xem:2.433K,Theo dõi:11K,Tình trạng:Đang tiến hành,Một thằng được chuyển vào trường toàn gái đẹp,//st.nettruyenup.com/data/comics/21/the-boy-in-the-all-girls-school-7971.jpg,https://www.nettruyenup.com/truyen-tranh/the-boy-in-the-all-girls-school-207570
Hy Vọng Duy Nhất,Chapter 27.2,"Thể loại:Drama, Josei, Manhwa, Ngôn Tình, Truyện Màu, Webtoon",Lượt xem:640K,Theo dõi:13K,Tình trạng:Đang tiến hành,"Bỗng một ngày Eun Hye phát hiện ra Do Jin, người chồng rất mực dịu dàng, ấm áp của cô thực ra lại là sát nhân hàng loạt. Cũng trong đêm ấy, Eun Hye bị giết và trùng sinh về thời điểm 9 năm trước, khi cô lần đầu gặp anh. Liệu cô có thể ngăn cản tội ác của chồng mình, và nhóm lên ngọn lửa yêu lần nữa?",//st.nettruyenup.com/data/comics/98/hy-vong-duy-nhat.jpg,https://www.nettruyenup.com/truyen-tranh/hy-vong-duy-nhat-71522
Oshi no Ko,Chapter 109,"Thể loại:Drama, Manga, Psychological, Romance, Seinen, Slice of Life",Tình trạng:Đang tiến hành,Bình luận:4.766,Tác giả:YOKOYARI Mengo - Akasaka Aka,Câu chuyện xoay quanh một cô gái vô cùng tuyệt vời và một cái nhìn hoàn toàn mới về ngành giải trí đầy phức tạpBộ truyện là sự hợp tác giữa hai tác giả của Kaguya-sama và Kuzu no Honkai,//st.nettruyenup.com/data/comics/178/oshi-no-ko.jpg,https://www.nettruyenup.com/truyen-tranh/oshi-no-ko-291060
Oukoku e Tsuzuku Michi dorei Kenshi no Nariagari Eiyūtan,Chapter 55,"Thể loại:Action, Adult, Adventure, Drama, Ecchi, Fantasy, Harem, Manga, Martial Arts, Smut",Tình trạng:Đang tiến hành,Bình luận:3.449,Tác giả:Toshinori Ito,"Đây là câu chuyện về một chàng trẻ ở một đấu trường ngầm, chàng trai này không nhớ mình đã ở đâu và nơi ở lúc trước, chỉ mang cái tên là Aegir, và là một người mạnh mẽ. vào một ngày, anh đã giết chết chủ nhân của mình và trốn thoát ra khỏi đấu trường.Sau đó cuộc hành trình của chàng trai trẻ này bắt đầu...",//st.nettruyenup.com/data/comics/43/oukoku-e-tsuzuku-michi-dorei-kenshi-no-n-3610.jpg,https://www.nettruyenup.com/truyen-tranh/oukoku-e-tsuzuku-michi-dorei-kenshi-no-nariagari-eiytan-325550
Cướp Dâu,Chapter 15.2,Tình trạng:Đang tiến hành,Bình luận:534,Ngày cập nhật:4 ngày trước,Lượt xem:1.316K,"Cơ hội ngàn năm có một đến với Lucina, cô con gái ngoài giá thú của Nam tước Berks. Vị vua vĩ đại và kẻ chinh phục Hakan, người cai trị Tayar, vùng đất của rồng. Một cơ hội sống khác được trao với điều kiện cô phải trở thành cô dâu của anh ta. Lucina, người đang rất tuyệt vọng nên dù chỉ là một nửa sự tự do cũng muốn có được nên đã bước vào thế giới vô định... Một câu chuyện tình thắp sáng kết thúc của sự tuyệt vọng.",//st.nettruyenup.com/data/comics/128/cuop-dau.jpg,https://www.nettruyenup.com/truyen-tranh/cuop-dau-77184
Chúng Ta Có Thể Trở Thành Người Nhà Không?,Chapter 61,"Thể loại:Drama, Manhwa, Ngôn Tình, Romance, Truyện Màu, Webtoon",Tình trạng:Đang tiến hành,Bình luận:1.749,Tác giả:Han Lee Rim,"“Navia Agnes”, được nhận nuôi để kết hôn với Thái tử thay mặt cho con gái của Công tước Agnes với thời hạn. “Tôi thực sự muốn trở thành một gia đình.” Navia, người giữ tình cảm của gia đình, đã cố gắng hết sức để trở thành Hoàng hậu ngay cả khi bị lạm dụng. Tuy nhiên, một khi Vivian, con gái ruột của Công tước, được chữa khỏi, cô sẽ bị gia đình bỏ rơi. Không, sẽ là đúng khi nói rằng cô ấy đã bị bỏ rơi trong mọi trường hợp. “Tôi phải nỗ lực bao nhiêu nữa? Nếu anh muốn là gia đình của em.” Navia tháo găng tay đẫm máu. Sau đó, trên cổ tay phải của cô, một số không thể nhìn thấy bởi những người khác xuất hiện. 1 Cô bình tĩnh thừa nhận, nhìn xuống con số. “Tôi sẽ ngừng chơi với gia đình ngay bây giờ.” Ngay lúc đó, số điện thoại trên cổ tay cô đã thay đổi. Cứ như thế, cuộc sống của cô lại bắt đầu. “Nếu anh gây rối với tôi, anh sẽ phải trả giá cho nó.” Cô sẽ có thể tìm thấy một gia đình tạm thời sẽ bảo vệ cô cho đến khi cô đến tuổi trưởng thành, và trả thù Công tước Agnes?",//st.nettruyenup.com/data/comics/90/chung-ta-co-the-tro-thanh-nguoi-nha-khon-2692.jpg,https://www.nettruyenup.com/truyen-tranh/chung-ta-co-the-tro-thanh-nguoi-nha-khong-505223
Vạn Tra Triêu Hoàng,Chapter 266,Tình trạng:Đang tiến hành,Bình luận:9.998,Ngày cập nhật:4 ngày trước,Lượt xem:31M,,//st.nettruyenup.com/data/comics/46/van-tra-trieu-hoang.jpg,https://www.nettruyenup.com/truyen-tranh/van-tra-trieu-hoang-230860
Thư Viện Ẩn Của Siêu Idol,Chapter 38,"Thể loại:Adventure, Comedy, Drama, Fantasy, Manhwa, Seinen, Shoujo, Truyện Màu, Webtoon",Lượt xem:368K,Theo dõi:12K,Tình trạng:Đang tiến hành,"Thực tập sinh Idol không tài năng Sang-Jun. Ngày anh ấy nói về việc chuyển nhượng các công ty giải trí với giám đốc của mình, Sang-Jun đã nhận được cuốn sách và mở khóa quyền truy cập vào thư viện tài năng. , là một trong nhiều cuốn sách tài năng mà anh ấy đã mượn từ thư viện để có được tài năng. Tuyệt vời, với tài năng này, tôi sẽ trở thành một ngôi sao hàng đầu!",//st.nettruyenup.com/data/comics/61/thu-vien-an-cua-sieu-idol.jpg,https://www.nettruyenup.com/truyen-tranh/thu-vien-an-cua-sieu-idol-67901
My Home Hero,Chapter 96,Tác giả:ASAKI Masashik - YAMAKAWA Naoki,Lượt xem:886K,Theo dõi:6.741,Tình trạng:Đang tiến hành,"Vì lợi ích của đứa con gái, người đàn ông trung niên đã bắt đầu dấn thân vào hành trình phiêu lưu của đời mình. Toshio Tetsuo là một nhân viên công ty bình thường. Anh rất yêu quý con gái Reika của mình. Một ngày nọ, anh phát hiện ra vết bỏng trên mặt Reika. Dù hỏi ai đã làm thì Reika vẫn không nói. Trên đường về, Tetsuo trông thấy một người đàn ông trông giống thủ phạm và đi theo hắn. Nhưng anh không ngờ rằng đó là khởi đầu của vụ án mạng đã làm thay đổi vận mệnh của gia đình anh. Vì con gái, vì gia đình, với tư cách là một người bố, anh phải đứng lên đấu tranh. Một bộ truyện tâm lí tội phạm hồi hộp đến từ tác giả của ""100-man no Inochi no Ue ni Ore wa Tatte Iru"" - Naki Yamakawa và ""Psychometrer Eiji"" - Masashi Asaki.",//st.nettruyenup.com/data/comics/200/my-home-hero.jpg,https://www.nettruyenup.com/truyen-tranh/my-home-hero-232400
After God,Chapter 24,Tác giả:ENO Sumi,Lượt xem:308K,Theo dõi:4.461,Tình trạng:Đang tiến hành,"Nhật Bản đã bị ""xâm lược"" bởi các vị thần. Tokyo, nơi ở của các vị thần, đã được tuyên bố là ""vùng nguy hiểm"" và được phong tỏa chặt chẽ bởi hàng rào không thể xuyên thủng. Một cô gái tên là Waka cứ nhìn ra ngoài ranh giới của hàng rào. Waka đến Tokyo từ Saga để gặp bạn của mình, nhưng ở đó cô gặp Tokinaga, một nhà nghiên cứu đã cảnh giác bảo vệ thành phố. Cuộc gặp gỡ này sẽ thay đổi số phận của thế giới ...",//st.nettruyenup.com/data/comics/232/after-god.jpg,https://www.nettruyenup.com/truyen-tranh/after-god-76776
"Nito No Taidana Isekai Shoukougun: Sai Jakushoku ""healer"" Nano Ni Saikyou Wa Desu Ka?",Chapter 28.2,Tác giả:Fujimi Shobou,Lượt xem:3.229K,Theo dõi:41K,Tình trạng:Đang tiến hành,"Masamune, học sinh cấp ba đã bị triệu hồi đến thế giới khác ngay sau khi nhảy khỏi ban công trường Một phòng yết kiến. Các bạn học khác lần lượt được trao các class mạnh mẽ như hiền giả và anh hùng. Tuy nhiên, nghề nghiệp của Masamune lại là trị liệu sư. Masamune, người luôn bị mọi người gọi là bất tài nay lại càng bất hạnh hơn Sau khi lang thang trong bóng tối, Masamune đã đạt được một skill trái ngược với nghề của cậu Masamune, người đã có được sức mạnh mạnh nhất, thề sẽ trả thù bạn cùng lớp và những kẻ đã coi thường cậu. Hãy bắt đầu hành trình trả thù nào",//st.nettruyenup.com/data/comics/122/nito-no-taidana-isekai-shoukougun-sai-ja-6562.jpg,https://www.nettruyenup.com/truyen-tranh/nito-no-taidana-isekai-shoukougun-sai-jakushoku-healer-nano-ni-saikyou-wa-desu-ka-259780
